block1;1;1;-1,-1.49966072182214E-32,-1.22460635382238E-16;-2=-1%0,154=3%0,50=0%0,-2=-1%0,-1=-1%0,-1=-1%0,-2=-1%0,-1=-1%0;4826.09931077013,3759.06501879132,-1312.50023566892|-1,-1.49966072182214E-32,-1.22460635382238E-16|1.22460635382238E-16,-4.28612223837832E-16,-1
block1;1;1;1.83690953073357E-16,1,3.06151588455594E-16;82=3%0,-1=-1%0,-1=-1%0,-1=-1%0,59=2%0,-1=-1%0,-1=-1%0,-1=-1%0;-3736.40101155204,696.565226358708,2312.50087074281|1.83690953073357E-16,1,3.06151588455594E-16|-2.99932144364427E-32,-3.06151588455594E-16,1
block1;1;1;-1,0,0;134=4%0,28=0%0,-1=-1%0,68=4%0,-1=-1%0,-1=-1%0,-2=-1%0,-1=-1%0;-1673.90055474834,2446.56609721596,499.999534231665|-1,0,0|0,-1,0
block1;1;1;0,-1,1.22460635382238E-16;-1=-1%0,127=2%0,20=0%0,-1=-1%0,-1=-1%0,-2=-1%0,-1=-1%0,-1=-1%0;451.100135435439,3821.56568152206,-500|0,-1,1.22460635382238E-16|-1,0,0
block1;1;1;-2.22044604925031E-16,3.06151588455594E-16,1;186=2%0,-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0,-2=-1%0,-1=-1%0,50=6%0;4076.09953343079,3759.06501879132,-2562.50046412799|-2.22044604925031E-16,3.06151588455594E-16,1|1,2.46519032881566E-32,2.22044604925031E-16
block1;1;1;-1,-1.49966072182214E-32,-1.22460635382238E-16;-1=-1%0,205=5%0,-1=-1%0,-1=-1%0,53=2%0,-1=-1%0,-1=-1%0,-1=-1%0;3826.09978386276,4071.56478869192,999.999992675703|-1,-1.49966072182214E-32,-1.22460635382238E-16|1.49966072182214E-32,1,-2.44921270764475E-16
block1;1;1;-1,0,0;-1=-1%0,78=2%0,-2=-1%0,-1=-1%0,64=3%0,-1=-1%0,-1=-1%0,-1=-1%0;-1173.90008898001,1946.56610454026,499.999534231665|-1,0,0|0,-1,0
block1;1;1;6.12303176911189E-17,-1,1.83690953073357E-16;-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0,45=1%0,-1=-1%0,-1=-1%0;2763.59961619755,1321.56558366203,-2312.50022834463|6.12303176911189E-17,-1,1.83690953073357E-16|0,-1.83690953073357E-16,-1
block1;1;1;6.12303176911189E-17,1.22460635382238E-16,1;-1=-1%0,147=3%0,35=1%0,-1=-1%0,107=5%0,-2=-1%0,-1=-1%0,-2=-1%0;763.59915775351,71.5657495257763,-1562.49999835966|6.12303176911189E-17,1.22460635382238E-16,1|-1.22460635382238E-16,1,-1.22460635382238E-16
block1;1;1;0,-3.06151588455594E-16,-1;-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0,3=4%0,-1=-1%0,-1=-1%0;3076.09936412524,1259.06522471837,-937.500467408671|0,-3.06151588455594E-16,-1|1,0,0
block1;1;1;1,-6.12303176911189E-17,-1.83690953073357E-16;-1=-1%0,-2=-1%0,-1=-1%0,-1=-1%0,44=3%0,-1=-1%0,-1=-1%0,-1=-1%0;201.099159393851,-1240.93383642067,1312.49957862214|1,-6.12303176911189E-17,-1.83690953073357E-16|1.83690953073357E-16,1.22460635382238E-16,1
block1;1;1;1,0,0;167=4%0,206=5%0,-1=-1%0,-1=-1%0,-1=-1%0,10=1%0,-1=-1%0,-1=-1%0;-2298.900656652,-53.434537857925,-499.999068463332|1,0,0|0,-1,-1.22460635382238E-16
block1;1;1;0,-6.12303176911189E-17,1;131=2%0,94=2%0,31=1%0,169=4%0,-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0;951.09919657447,1259.06522471837,-3562.49952526703|0,-6.12303176911189E-17,1|-1,-1.22460635382238E-16,-7.49830360911069E-33
block1;1;1;-1,-2.99932144364427E-32,-2.44921270764475E-16;-1=-1%0,159=3%0,138=4%0,-1=-1%0,-1=-1%0,9=1%0,-1=-1%0,-1=-1%0;2326.09960723291,5571.56524713595,500.000281814185|-1,-2.99932144364427E-32,-2.44921270764475E-16|0,1,-1.22460635382238E-16
block1;1;1;1,6.12303176911189E-17,6.12303176911189E-17;-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0,60=3%0,-1=-1%0,-1=-1%0;1701.0989681154,1259.06540134822,-2812.50022102033|1,6.12303176911189E-17,6.12303176911189E-17|6.12303176911189E-17,-1.22460635382238E-16,-1
block1;1;1;1.23259516440783E-32,1,-2.77555756156289E-16;-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0,-2=-1%0,-1=-1%0,53=6%0;3263.5997855031,2696.56456198763,1312.4997479277|1.23259516440783E-32,1,-2.77555756156289E-16|-6.12303176911189E-17,2.77555756156289E-16,1
block1;1;1;-1,0,0;89=2%0,117=5%0,68=1%0,122=5%0,-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0;326.099911019989,2071.56592615563,499.999534231665|-1,0,0|0,1,-1.22460635382238E-16
block1;1;1;1.49966072182214E-32,1.83690953073357E-16,-1;-1=-1%0,-1=-1%0,198=3%0,-1=-1%0,-1=-1%0,42=4%0,-1=-1%0,-1=-1%0;-4048.90106326682,1259.06522471837,-937.498893473821|1.49966072182214E-32,1.83690953073357E-16,-1|-1,1.22460635382238E-16,7.49830360911069E-33
block1;1;1;1,6.12303176911189E-17,-6.12303176911189E-17;-1=-1%0,109=2%0,-1=-1%0,-1=-1%0,24=0%0,-1=-1%0,-1=-1%0,-1=-1%0;-798.900573440562,759.065048088517,-312.499762576293|1,6.12303176911189E-17,-6.12303176911189E-17|-6.12303176911189E-17,0,-1
block1;1;1;-1,0,0;-1=-1%0,104=4%0,-1=-1%0,143=4%0,46=0%0,-1=-1%0,-1=-1%0,-1=-1%0;1826.09914878887,71.5654530629963,-1000|-1,0,0|0,1,-1.22460635382238E-16
block1;1;1;1,-2.44921270764475E-16,-4.49898216546641E-32;-2=-1%0,-1=-1%0,98=3%0,63=0%0,-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0;-3798.90054414337,1259.06475895003,3187.50086517329|1,-2.44921270764475E-16,-4.49898216546641E-32|2.99932144364427E-32,3.06151588455594E-16,-1
block1;1;1;-1,-1.49966072182214E-32,-1.22460635382238E-16;-1=-1%0,-1=-1%0,49=0%0,141=5%0,-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0;5326.09959258431,3946.56524889073,-0.000465768333015149|-1,-1.49966072182214E-32,-1.22460635382238E-16|-2.99932144364427E-32,-1,3.67381906146713E-16
block1;1;1;1,3.58678896750428E-17,-8.65927457071941E-17;108=1%0,156=5%0,-1=-1%0,-1=-1%0,-1=-1%0,57=2%0,-1=-1%0,-1=-1%0;-1298.90084060615,259.065239366923,-2312.49883103961|1,3.58678896750428E-17,-8.65927457071941E-17|-8.6592745707193E-17,-3.21964677141295E-14,-1
block1;1;1;0,-1,1.22460635382238E-16;-1=-1%0,-1=-1%0,-1=-1%0,-2=-1%0,163=5%0,26=4%0,86=7%0,-1=-1%0;1951.09891476029,321.565053772477,999.999999999998|0,-1,1.22460635382238E-16|-1,0,0
block1;1;1;0,-1,1.22460635382238E-16;-1=-1%0,-1=-1%0,-1=-1%0,-2=-1%0,-1=-1%0,-1=-1%0,-1=-1%0,85=6%0;1451.09892940888,821.56551954081,999.999999999998|0,-1,1.22460635382238E-16|-1,0,0
block1;1;1;1.22460635382238E-16,-1,-1.22460635382238E-16;-2=-1%0,37=0%0,-1=-1%0,-2=-1%0,-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0;-1236.40084957079,-178.435058736155,-1187.49994096093|1.22460635382238E-16,-1,-1.22460635382238E-16|6.12303176911189E-17,-1.22460635382238E-16,1
block1;1;1;1,-6.12303176911189E-17,-6.12303176911189E-17;115=3%0,-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0,24=4%0,-1=-1%0,-1=-1%0;201.099426559436,759.06551385685,812.50022102033|1,-6.12303176911189E-17,-6.12303176911189E-17|6.12303176911189E-17,0,1
block1;1;1;0,-1,1.22460635382238E-16;-1=-1%0,-1=-1%0,78=0%0,-1=-1%0,-2=-1%0,-1=-1%0,-1=-1%0,-2=-1%0;-48.8993914719293,3321.56568884636,499.999534231665|0,-1,1.22460635382238E-16|-1,0,0
block1;1;1;-1.22460635382238E-16,-1,1.22460635382238E-16;-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0,9=4%0,-1=-1%0,-1=-1%0;2763.59960887325,3321.56501715099,812.50022102033|-1.22460635382238E-16,-1,1.22460635382238E-16|-1.83690953073357E-16,1.22460635382238E-16,1
block1;1;1;-8.6592745707193E-17,1,-3.24740234702858E-14;100=4%0,-1=-1%0,-2=-1%0,135=5%0,-1=-1%0,-1=-1%0,-1=-1%0,25=6%0;3263.5997855031,2696.56502775595,-1312.50022102033|-8.6592745707193E-17,1,-3.24740234702858E-14|-2.53624280160733E-17,-3.24740234702858E-14,-1
block1;1;1;-1,-2.99932144364427E-32,-2.44921270764475E-16;-1=-1%0,-1=-1%0,105=3%0,-1=-1%0,-1=-1%0,21=1%0,-1=-1%0,-1=-1%0;-173.900674581276,4071.56526910885,-4.2632564145606E-13|-1,-2.99932144364427E-32,-2.44921270764475E-16|0,1,-1.22460635382238E-16
